UID:548615070318948634,Account Type:Main
id,Order id,Time,Trade Type,Symbol,Action,Amount,Trading Unit,Filled Price,PnL,Fee,Fee Unit,Position Change,Position Balance,Balance Change,Balance,Balance Unit
3157093415232987137,3157093415199432704,2025-12-24 18:45:15,Swap,ETH-USDT-SWAP,Sell,0.36,cont,2923.90000000,0.00000000,-0.05263020,USDT,0.00000000,0.00000000,-0.05263020,344.33767955,USDT
3157070653516931074,3157070653449822208,2025-12-24 18:33:57,Swap,ETH-USDT-SWAP,Buy,0.13,cont,2925.28000000,-0.24999000,-0.01901432,USDT,0.00000000,0.00000000,-0.26900432,344.39030975,USDT
3157070653516931072,3157070653449822208,2025-12-24 18:33:57,Swap,ETH-USDT-SWAP,Buy,0.07,cont,2925.28000000,-0.13461000,-0.01023848,USDT,0.00000000,0.00000000,-0.14484848,345.23870799,USDT
3157070653516931073,3157070653449822208,2025-12-24 18:33:57,Swap,ETH-USDT-SWAP,Buy,0.28,cont,2925.28000000,-0.53844000,-0.04095392,USDT,0.00000000,0.00000000,-0.57939392,344.65931407,USDT
3156972640349970433,3156972640316416000,2025-12-24 17:45:16,Swap,ETH-USDT-SWAP,Sell,0.03,cont,2906.05000000,0.00000000,-0.00435908,USDT,0.00000000,0.00000000,-0.00435908,345.44894260,USDT
3156972640349970435,3156972640316416000,2025-12-24 17:45:16,Swap,ETH-USDT-SWAP,Sell,0.42,cont,2906.05000000,0.00000000,-0.06102705,USDT,0.00000000,0.00000000,-0.06102705,345.38355647,USDT
3156972640349970434,3156972640316416000,2025-12-24 17:45:16,Swap,ETH-USDT-SWAP,Sell,0.03,cont,2906.05000000,0.00000000,-0.00435908,USDT,0.00000000,0.00000000,-0.00435908,345.44458352,USDT
3156957668765065217,3156957668731510787,2025-12-24 17:37:50,Swap,SOL-USDT-SWAP,Buy,0.85,cont,120.98000000,0.90100000,-0.05141650,USDT,0.00000000,0.00000000,0.84958350,345.45330167,USDT
3156639904368156692,0,2025-12-24 15:00:00,Swap,MINA-USDT-SWAP,Funding fee expense,10617,cont,0.07479000,-0.03970228,0.00000000,USDT,-0.03970227,132.90547432,0.00000000,344.60371817,USDT
3156610441228050433,3156610441160941568,2025-12-24 14:45:22,Swap,SOL-USDT-SWAP,Sell,0.85,cont,122.04000000,0.00000000,-0.05186700,USDT,0.00000000,0.00000000,-0.05186700,344.60371817,USDT
