ℹ️ 12:29:09 | BTC-USDT-SWAP | tf=15m | TA=50.5 ML=73.1 News=50.0 Risk=45.8 | Final=55.3 (D) | Dir=flat | Gate=PENDING (persist 0/5, conf 0/0.0, age 1/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→SHORT_OPEN
ℹ️ 12:29:19 | ETH-USDT-SWAP | tf=15m | TA=50.5 ML=95.9 News=50.0 Risk=45.8 | Final=61.0 (C) | Dir=long | Gate=PENDING (persist 0/5, conf 0/0.0, age 1/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→SHORT_OPEN
ℹ️ 12:29:25 | SOL-USDT-SWAP | tf=15m | TA=49.6 ML=51.6 News=50.0 Risk=47.2 | Final=49.8 (D) | Dir=flat | Gate=PENDING (persist 0/5, conf 0/0.0, age 1/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→SHORT_OPEN
ℹ️ 12:30:03 | BTC-USDT-SWAP | tf=15m | TA=44.5 ML=23.1 News=50.0 Risk=45.8 | Final=40.4 (D) | Dir=flat | Gate=PENDING (persist 1/5, conf 1/0.0, age 2/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→SHORT_OPEN
ℹ️ 12:30:10 | ETH-USDT-SWAP | tf=15m | TA=44.5 ML=95.9 News=50.0 Risk=45.8 | Final=58.6 (D) | Dir=long | Gate=PENDING (persist 0/5, conf 0/0.0, age 2/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→SHORT_OPEN
ℹ️ 12:30:17 | BTC-USDT-SWAP | tf=15m | TA=39.2 ML=29.6 News=50.0 Risk=45.8 | Final=40.0 (D) | Dir=short | Gate=PENDING (persist 0/5, conf 0/0.0, age 3/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→SHORT_OPEN
ℹ️ 12:30:17 | SOL-USDT-SWAP | tf=15m | TA=42.2 ML=95.9 News=50.0 Risk=47.2 | Final=58.0 (D) | Dir=flat | Gate=PENDING (persist 1/5, conf 1/0.0, age 2/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→SHORT_OPEN
ℹ️ 12:30:24 | ETH-USDT-SWAP | tf=15m | TA=44.5 ML=100.0 News=50.0 Risk=45.8 | Final=59.7 (D) | Dir=long | Gate=PENDING (persist 0/5, conf 0/0.0, age 3/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→SHORT_OPEN
ℹ️ 12:45:07 | BTC-USDT-SWAP | tf=15m | TA=44.5 ML=46.4 News=50.0 Risk=45.8 | Final=46.3 (D) | Dir=short | Gate=PENDING (persist 0/5, conf 0/0.0, age 4/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→SHORT_OPEN
ℹ️ 12:45:13 | ETH-USDT-SWAP | tf=15m | TA=44.5 ML=77.0 News=50.0 Risk=45.8 | Final=53.9 (D) | Dir=long | Gate=PENDING (persist 0/5, conf 0/0.0, age 4/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→SHORT_OPEN
ℹ️ 13:00:15 | BTC-USDT-SWAP | tf=15m | TA=44.5 ML=3.8 News=50.0 Risk=45.8 | Final=35.6 (D) | Dir=short | Gate=PENDING (persist 0/5, conf 0/0.0, age 1/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→SHORT_OPEN
