2025-10-20 02:40:26 | INFO | application.news_service:_analyze_news_with_llm:306 | ğŸ“Š [LLM] sym=XRP digest=CHANGED run=YES items=30
2025-10-20 02:40:27 | ERROR | application.news_llm_analyzer:_get_llm_analysis:149 | LLM API request failed: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-10-20 02:40:27 | ERROR | application.news_llm_analyzer:analyze_news_batch:59 | âŒ [LLM] sym=ICP analysis failed: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-10-20 02:40:27 | DEBUG | application.news_digest_manager:_save_cache:46 | ğŸ’¾ Saved 4623 digest cache entries
2025-10-20 02:40:27 | DEBUG | application.news_digest_manager:cache_digest_result:149 | ğŸ’¾ Cached digest result for ICP (digest: 4dd5f79b...)
2025-10-20 02:40:27 | INFO | application.news_service:_analyze_news_with_llm:325 | ğŸ“Š [NEWSCLS] type=general sym=ICP conf=0.50 title="Hyperliquid Dominates Fees and Trading Volume, Lea..."
2025-10-20 02:40:27 | DEBUG | application.news_service:_save_news_storage:90 | ğŸ’¾ Saved news storage
2025-10-20 02:40:27 | INFO | application.news_digest_manager:get_digest_status:128 | ğŸ“Š [LLM] sym=XRP digest=CHANGED run=YES items=44
2025-10-20 02:40:27 | INFO | application.news_service:_analyze_news_with_llm:306 | ğŸ“Š [LLM] sym=XRP digest=CHANGED run=YES items=30
2025-10-20 02:40:28 | ERROR | application.news_llm_analyzer:_get_llm_analysis:149 | LLM API request failed: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-10-20 02:40:28 | ERROR | application.news_llm_analyzer:analyze_news_batch:59 | âŒ [LLM] sym=XRP analysis failed: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-10-20 02:40:28 | DEBUG | application.news_digest_manager:_save_cache:46 | ğŸ’¾ Saved 4624 digest cache entries
2025-10-20 02:40:28 | DEBUG | application.news_digest_manager:cache_digest_result:149 | ğŸ’¾ Cached digest result for XRP (digest: cbbed223...)
2025-10-20 02:40:28 | INFO | application.news_service:_analyze_news_with_llm:325 | ğŸ“Š [NEWSCLS] type=general sym=XRP conf=0.50 title="$4 Billion Buried in Brass, Silver and Gold: The U..."
2025-10-20 02:40:28 | DEBUG | application.news_service:_save_news_storage:90 | ğŸ’¾ Saved news storage
2025-10-20 02:40:28 | INFO | application.news_digest_manager:get_digest_status:128 | ğŸ“Š [LLM] sym=CFX digest=CHANGED run=YES items=6
2025-10-20 02:40:28 | INFO | application.news_service:_analyze_news_with_llm:306 | ğŸ“Š [LLM] sym=CFX digest=CHANGED run=YES items=6
2025-10-20 02:40:29 | ERROR | application.news_llm_analyzer:_get_llm_analysis:149 | LLM API request failed: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-10-20 02:40:29 | ERROR | application.news_llm_analyzer:analyze_news_batch:59 | âŒ [LLM] sym=XRP analysis failed: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-10-20 02:40:29 | DEBUG | application.news_digest_manager:_save_cache:46 | ğŸ’¾ Saved 4624 digest cache entries
2025-10-20 02:40:29 | DEBUG | application.news_digest_manager:cache_digest_result:149 | ğŸ’¾ Cached digest result for XRP (digest: 5293df8b...)
2025-10-20 02:40:29 | INFO | application.news_service:_analyze_news_with_llm:325 | ğŸ“Š [NEWSCLS] type=general sym=XRP conf=0.50 title="$4 Billion Buried in Brass, Silver and Gold: The U..."
