2025-12-09 01:12:31.328 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 22:12:31 | BTC-USDT-SWAP | tf=15m | TA=46.0 ML=47.9 News=50.0 Risk=43.5 | Final=46.8 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 01:12:33.365 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 22:12:33 | ETH-USDT-SWAP | tf=15m | TA=46.0 ML=46.1 News=50.0 Risk=43.5 | Final=46.1 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 01:12:34.903 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 22:12:34 | SOL-USDT-SWAP | tf=15m | TA=42.2 ML=46.7 News=50.0 Risk=45.5 | Final=45.6 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 01:30:10.427 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 22:30:10 | BTC-USDT-SWAP | tf=15m | TA=46.0 ML=43.3 News=50.0 Risk=43.5 | Final=45.2 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 01:30:11.926 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 22:30:11 | ETH-USDT-SWAP | tf=15m | TA=46.0 ML=50.1 News=50.0 Risk=43.5 | Final=47.5 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 01:30:13.448 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 22:30:13 | SOL-USDT-SWAP | tf=15m | TA=40.1 ML=51.7 News=50.0 Risk=45.5 | Final=46.7 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 01:45:09.911 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 22:45:09 | BTC-USDT-SWAP | tf=15m | TA=46.0 ML=50.1 News=50.0 Risk=43.5 | Final=47.5 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 01:45:11.395 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 22:45:11 | ETH-USDT-SWAP | tf=15m | TA=46.0 ML=44.8 News=50.0 Risk=43.5 | Final=45.7 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 01:45:12.911 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 22:45:12 | SOL-USDT-SWAP | tf=15m | TA=41.4 ML=46.5 News=50.0 Risk=45.5 | Final=45.3 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 02:00:08.441 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 23:00:08 | BTC-USDT-SWAP | tf=15m | TA=46.0 ML=57.2 News=50.0 Risk=43.5 | Final=50.0 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
2025-12-09 02:00:09.900 | INFO     | infrastructure.runtime:trading_main:221 - ℹ️ 23:00:09 | ETH-USDT-SWAP | tf=15m | TA=46.0 ML=53.4 News=50.0 Risk=43.5 | Final=48.7 (D) | Dir=flat age=1/6 | Gate=PENDING (persist 0/5, conf 0.00/0.00)
